#bytes,#repetitions,t[usec],Mbytes/sec
524288,80,54.26,9662.13
1048576,40,96.85,10826.25
2097152,20,186.00,11274.77
4194304,10,352.58,11895.97
8388608,5,693.26,12100.15
16777216,2,1380.52,12152.81
33554432,1,2762.26,12147.47
67108864,1,5514.68,12169.12
134217728,1,11018.38,12181.26
268435456,1,22049.36,12174.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.05
8,1000,0.99,8.11
16,1000,0.99,16.23
32,1000,1.00,31.95
64,1000,1.16,55.23
128,1000,1.21,106.21
256,1000,1.42,180.48
512,1000,1.50,342.28
1024,1000,1.65,621.70
2048,1000,2.31,884.77
4096,1000,3.18,1286.24
8192,1000,4.46,1835.27
16384,1000,6.26,2615.65
32768,1000,8.45,3876.99
65536,640,12.38,5292.54
131072,320,18.58,7052.93
262144,160,32.76,8001.51
524288,80,54.06,9698.24
1048576,40,97.36,10769.73
2097152,20,182.23,11508.44
4194304,10,352.48,11899.38
8388608,5,693.20,12101.29
16777216,2,1378.96,12166.54
33554432,1,2757.59,12168.01
67108864,1,5515.28,12167.81
134217728,1,11028.71,12169.84
268435456,1,22045.39,12176.49
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.05
8,1000,0.98,8.17
16,1000,0.98,16.24
32,1000,1.00,31.93
64,1000,1.16,55.18
128,1000,1.20,106.96
256,1000,1.42,180.56
512,1000,1.49,342.94
1024,1000,1.65,619.59
2048,1000,2.32,882.63
4096,1000,3.19,1284.29
8192,1000,4.55,1798.70
16384,1000,6.43,2546.41
32768,1000,8.56,3826.28
65536,640,12.43,5271.27
131072,320,18.82,6964.57
262144,160,32.66,8025.34
524288,80,55.91,9377.21
1048576,40,98.36,10660.61
2097152,20,182.26,11506.49
4194304,10,353.40,11868.27
8388608,5,694.02,12087.02
16777216,2,1381.15,12147.29
33554432,1,2762.75,12145.29
67108864,1,5519.35,12158.83
134217728,1,11010.87,12189.57
268435456,1,22051.06,12173.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.05
8,1000,0.99,8.12
16,1000,0.99,16.23
32,1000,1.01,31.60
64,1000,1.16,55.15
128,1000,1.20,106.65
256,1000,1.42,180.26
512,1000,1.50,340.55
1024,1000,1.65,619.71
2048,1000,2.32,884.18
4096,1000,3.18,1286.20
8192,1000,4.48,1830.13
16384,1000,6.27,2611.87
32768,1000,8.59,3812.79
65536,640,12.42,5277.78
131072,320,18.70,7008.02
262144,160,32.67,8023.24
524288,80,54.26,9663.38
1048576,40,97.02,10807.75
2097152,20,186.02,11273.70
4194304,10,352.34,11904.24
8388608,5,694.33,12081.55
16777216,2,1380.94,12149.12
33554432,1,2757.38,12168.93
67108864,1,5514.07,12170.48
134217728,1,11012.97,12187.25
268435456,1,22038.76,12180.15
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.05
8,1000,0.99,8.11
16,1000,0.99,16.20
32,1000,1.00,31.93
64,1000,1.15,55.44
128,1000,1.19,107.15
256,1000,1.42,180.51
512,1000,1.49,342.75
1024,1000,1.65,619.81
2048,1000,2.36,868.29
4096,1000,3.23,1266.83
8192,1000,4.54,1805.33
16384,1000,6.42,2551.78
32768,1000,8.55,3831.02
65536,640,12.47,5256.60
131072,320,18.81,6968.92
262144,160,32.73,8009.29
524288,80,54.27,9661.47
1048576,40,97.96,10704.27
2097152,20,182.36,11499.82
4194304,10,352.82,11888.00
8388608,5,693.75,12091.65
16777216,2,1380.70,12151.26
33554432,1,2757.16,12169.92
67108864,1,5517.25,12163.46
134217728,1,11020.95,12178.42
268435456,1,22057.61,12169.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.03
8,1000,0.98,8.13
16,1000,0.99,16.19
32,1000,1.00,31.96
64,1000,1.17,54.74
128,1000,1.22,105.31
256,1000,1.43,179.06
512,1000,1.49,343.06
1024,1000,1.65,620.37
2048,1000,2.32,883.26
4096,1000,3.19,1285.28
8192,1000,4.48,1827.86
16384,1000,6.29,2603.98
32768,1000,8.48,3863.69
65536,640,12.41,5281.52
131072,320,18.64,7031.18
262144,160,32.76,8000.89
524288,80,54.83,9562.42
1048576,40,98.24,10673.68
2097152,20,182.17,11511.91
4194304,10,353.42,11867.90
8388608,5,693.93,12088.59
16777216,2,1383.34,12128.02
33554432,1,2759.57,12159.29
67108864,1,5516.83,12164.39
134217728,1,11018.99,12180.58
268435456,1,22033.65,12182.98
